Exch,Exchange Segment,Group Name,Symbol,Token,Instrument Type,Instrument Name,Formatted Ins Name,Trading Symbol,Lot Size,Tick Size
NSE,nse_cm,EQ,SANOFI,1442,0,SANOFI INDIA LIMITED,SANOFI-EQ,SANOFI-EQ,1,0.05
NSE,nse_cm,EQ,SANGINITA,11032,0,SANGINITA CHEMICALS LTD,SANGINITA-EQ,SANGINITA-EQ,1,0.01
NSE,nse_cm,EQ,SANGHVIMOV,14058,0,SANGHVI MOVERS LTD,SANGHVIMOV-EQ,SANGHVIMOV-EQ,1,0.05
NSE,nse_cm,EQ,SANGHIIND,2997,0,SANGHI INDUSTRIES LTD,SANGHIIND-EQ,SANGHIIND-EQ,1,0.01
NSE,nse_cm,EQ,SANGAMIND,4184,0,SANGAM (INDIA) LTD,SANGAMIND-EQ,SANGAMIND-EQ,1,0.05
NSE,nse_cm,EQ,SANDUMA,18359,0,SANDUR MANG & IRON ORES L,SANDUMA-EQ,SANDUMA-EQ,1,0.05
NSE,nse_cm,EQ,SANDHAR,2397,0,SANDHAR TECHNOLOGIES LTD,SANDHAR-EQ,SANDHAR-EQ,1,0.05
NSE,nse_cm,EQ,SANDESH,2988,0,SANDESH LTD,SANDESH-EQ,SANDESH-EQ,1,0.05
NSE,nse_cm,EQ,SAMMAANCAP,30125,0,SAMMAAN CAPITAL LIMITED,SAMMAANCAP-EQ,SAMMAANCAP-EQ,1,0.01
NSE,nse_cm,EQ,SENCO,17271,0,SENCO GOLD LIMITED,SENCO-EQ,SENCO-EQ,1,0.05
NSE,nse_cm,EQ,SEPC,15308,0,SEPC LIMITED,SEPC-EQ,SEPC-EQ,1,0.01
NSE,nse_cm,EQ,SHYAMMETL,4693,0,SHYAM METALICS AND ENGY L,SHYAMMETL-EQ,SHYAMMETL-EQ,1,0.05
NSE,nse_cm,EQ,SHYAMCENT,10188,0,SHYAM CENTURY FERROUS LTD,SHYAMCENT-EQ,SHYAMCENT-EQ,1,0.01
NSE,nse_cm,EQ,SHRIRAMPPS,7200,0,SHRIRAM PROPERTIES LTD,SHRIRAMPPS-EQ,SHRIRAMPPS-EQ,1,0.01
NSE,nse_cm,EQ,SHRIRAMFIN,4306,0,SHRIRAM FINANCE LIMITED,SHRIRAMFIN-EQ,SHRIRAMFIN-EQ,1,0.05
NSE,nse_cm,EQ,SHRIPISTON,17186,0,SHRIRAM PIST. & RING LTD,SHRIPISTON-EQ,SHRIPISTON-EQ,1,0.05
NSE,nse_cm,EQ,SHREYAS,3129,0,SHREYAS SHIPPING & LOGIST,SHREYAS-EQ,SHREYAS-EQ,1,0.05
NSE,nse_cm,EQ,SHREYANIND,3126,0,SHREYANS INDUSTRIES LTD,SHREYANIND-EQ,SHREYANIND-EQ,1,0.05
NSE,nse_cm,EQ,SHREECEM,3103,0,SHREE CEMENT LIMITED,SHREECEM-EQ,SHREECEM-EQ,1,0.05
NSE,nse_cm,EQ,SIGACHI,6663,0,SIGACHI INDUSTRIES LTD,SIGACHI-EQ,SIGACHI-EQ,1,0.01
NSE,nse_cm,EQ,SINCLAIR,23480,0,SINCLAIRS HOTELS LIMITED,SINCLAIR-EQ,SINCLAIR-EQ,1,0.01
NSE,nse_cm,EQ,SIMPLEXINF,3162,0,SIMPLEX INFRASTRUCTURES L,SIMPLEXINF-EQ,SIMPLEXINF-EQ,1,0.01
NSE,nse_cm,EQ,SILVERTUC,9422,0,SILVER TOUCH TECHNO LTD,SILVERTUC-EQ,SILVERTUC-EQ,1,0.05
NSE,nse_cm,EQ,SILINV,4105,0,SIL INVESTMENTS LIMITED,SILINV-EQ,SILINV-EQ,1,0.05
NSE,nse_cm,EQ,SILGO,2492,0,SILGO RETAIL LIMITED,SILGO-EQ,SILGO-EQ,1,0.01
NSE,nse_cm,EQ,SIGNPOST,22656,0,SIGNPOST INDIA LIMITED,SIGNPOST-EQ,SIGNPOST-EQ,1,0.01
NSE,nse_cm,EQ,SIGNATURE,18743,0,SIGNATUREGLOBAL INDIA LTD,SIGNATURE-EQ,SIGNATURE-EQ,1,0.05
NSE,nse_cm,EQ,SIGMA,16658,0,SIGMA SOLVE LIMITED,SIGMA-EQ,SIGMA-EQ,1,0.05
NSE,nse_cm,EQ,SIGIND,4522,0,SIGNET INDUSTRIES LIMITED,SIGIND-EQ,SIGIND-EQ,1,0.01
NSE,nse_cm,EQ,SIEMENS,3150,0,SIEMENS LTD,SIEMENS-EQ,SIEMENS-EQ,1,0.05
NSE,nse_cm,EQ,SINTERCOM,381,0,SINTERCOM INDIA LIMITED,SINTERCOM-EQ,SINTERCOM-EQ,1,0.01
NSE,nse_cm,EQ,SHREDIGCEM,3099,0,SHREE DIGVIJAY CEM CO LTD,SHREDIGCEM-EQ,SHREDIGCEM-EQ,1,0.01
NSE,nse_cm,EQ,SHOPERSTOP,11813,0,SHOPPERS STOP LIMITED,SHOPERSTOP-EQ,SHOPERSTOP-EQ,1,0.05
NSE,nse_cm,EQ,SHALBY,714,0,SHALBY LIMITED,SHALBY-EQ,SHALBY-EQ,1,0.05
NSE,nse_cm,EQ,SHAILY,8727,0,SHAILY ENG PLASTICS LTD,SHAILY-EQ,SHAILY-EQ,1,0.05
NSE,nse_cm,EQ,SHAHALLOYS,11856,0,SHAH ALLOYS LIMITED,SHAHALLOYS-EQ,SHAHALLOYS-EQ,1,0.01
NSE,nse_cm,EQ,SGIL,5114,0,SYNERGY GREEN IND. LTD,SGIL-EQ,SGIL-EQ,1,0.05
NSE,nse_cm,EQ,SFL,19184,0,SHEELA FOAM LIMITED,SFL-EQ,SFL-EQ,1,0.05
NSE,nse_cm,EQ,SESHAPAPER,3066,0,SESHASAYEE PAPER & BOARDS,SESHAPAPER-EQ,SESHAPAPER-EQ,1,0.05
NSE,nse_cm,EQ,SERVOTECH,5507,0,SERVOTECH POWER SYS LTD.,SERVOTECH-EQ,SERVOTECH-EQ,1,0.01
NSE,nse_cm,EQ,SEQUENT,14296,0,SEQUENT SCIENTIFIC LTD.,SEQUENT-EQ,SEQUENT-EQ,1,0.01
